,PlayerID,PlayerName,Age,Rating in Scale 100,Potential in Scale 100,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,PopularityHits
21,211110,P. Dybala,26,76,89,89,CAM,€109M,€190K,€122.5M,405,436,437,382,348,120,26,2154,452,3 ★,4★,Medium,Medium,3 ★,408
22,210257,Ederson,26,88,91,88,GK,€92M,€195K,€103M,123,157,322,273,172,52,435,1534,498,3 ★,1★,Medium,Medium,2 ★,103
23,202126,H. Kane,26,76,89,88,ST,€109M,€220K,€140.2M,420,395,367,424,382,130,54,2172,449,4 ★,3★,High,High,3 ★,332
24,162835,S. Handanovič,35,88,88,88,GK,€10M,€100K,€27.2M,86,100,272,264,123,48,424,1317,477,3 ★,1★,Medium,Medium,3 ★,86
25,201024,K. Koulibaly,29,88,88,88,CB,€76.5M,€140K,€85M,224,262,328,316,294,267,43,1734,401,3 ★,2★,Medium,High,3 ★,173
26,183277,E. Hazard,29,76,88,88,LW,€89.5M,€350K,€118.9M,388,427,448,361,353,83,45,2105,446,4 ★,4★,High,Medium,4 ★,246
27,182521,T. Kroos,30,88,88,88,CM,€87.5M,€310K,€112.8M,397,432,332,355,378,205,51,2150,447,5 ★,3★,Medium,Medium,4 ★,161
28,194765,A. Griezmann,29,87,87,87,ST,€79.5M,€290K,€103.5M,425,429,425,402,382,162,63,2288,465,3 ★,4★,Medium,Medium,4 ★,396
30,231281,T. Alexander-Arnold,21,87,92,87,RB,€114M,€110K,€115.5M,365,426,391,370,371,241,56,2220,464,4 ★,3★,High,Medium,2 ★,433
31,218667,Bernardo Silva,25,87,88,87,RW,€95M,€230K,€115.5M,371,411,434,350,356,148,54,2124,451,3 ★,4★,High,High,2 ★,242
32,216267,A. Robertson,26,87,78,87,LB,€90.5M,€155K,€102M,328,358,400,365,378,248,50,2127,461,2 ★,3★,High,High,3 ★,206
33,212218,A. Laporte,26,87,90,88,CB,€92.5M,€200K,€107.8M,311,351,331,348,331,266,45,1983,422,3 ★,2★,Medium,Medium,2 ★,177
35,209499,Fabinho,26,87,89,87,CDM,€88.5M,€155K,€104.9M,345,365,349,395,412,258,47,2171,460,2 ★,3★,Medium,High,3 ★,198
36,200104,H. Son,27,87,87,87,LM,€85M,€165K,€99.8M,399,400,429,385,345,117,53,2128,453,5 ★,4★,High,High,3 ★,459
37,201942,Roberto Firmino,28,87,74,87,CF,€81.5M,€190K,€96.2M,400,403,416,402,377,166,44,2208,467,4 ★,5★,High,High,3 ★,173
38,193041,K. Navas,33,74,87,87,GK,€26M,€110K,€50M,78,98,312,257,161,56,418,1380,471,3 ★,1★,Medium,Medium,3 ★,117
39,138956,G. Chiellini,35,74,87,87,CB,€21M,€95K,€25.6M,280,276,326,355,306,272,15,1830,399,3 ★,2★,Medium,High,4 ★,130
40,189511,Sergio Busquets,31,87,87,87,CDM,€56M,€240K,€77.9M,330,386,284,337,387,249,48,2021,424,3 ★,3★,Medium,Medium,4 ★,119
41,188567,P. Aubameyang,31,87,87,87,ST,€67.5M,€170K,€85.5M,403,383,418,389,339,92,48,2072,441,4 ★,4★,High,High,3 ★,209
42,186153,W. Szczęsny,30,87,87,87,GK,€53M,€105K,€56.1M,86,99,286,250,135,45,416,1317,465,3 ★,1★,Medium,Medium,3 ★,84
43,183898,A. Di María,32,87,87,87,RW,€63M,€160K,€72.2M,379,432,419,379,360,148,51,2168,453,2 ★,5★,High,Medium,4 ★,187
44,177003,L. Modrić,34,87,87,87,CM,€36.5M,€260K,€50.2M,380,427,417,371,391,214,52,2252,463,4 ★,4★,High,Medium,4 ★,165
45,176580,L. Suárez,33,87,87,87,ST,€51M,€115K,€64.6M,429,413,386,409,386,140,153,2316,459,4 ★,3★,High,Medium,5 ★,203
46,167948,H. Lloris,33,87,87,87,GK,€26M,€125K,€51.3M,94,115,321,223,138,57,413,1361,476,1 ★,1★,Medium,Medium,4 ★,65
47,192387,C. Immobile,30,87,87,87,ST,€78M,€125K,€82.5M,394,341,409,398,369,99,47,2057,438,4 ★,3★,High,Medium,3 ★,336
48,189596,T. Müller,30,86,86,86,CAM,€65.5M,€130K,€69.3M,419,375,374,388,359,150,52,2117,437,4 ★,3★,High,High,4 ★,126
49,193080,De Gea,29,86,86,86,GK,€46.5M,€150K,€59.9M,114,143,304,241,170,59,418,1449,476,3 ★,1★,Medium,Medium,4 ★,313
50,204963,Carvajal,28,86,86,86,RB,€61.5M,€230K,€77.9M,339,359,403,355,361,251,65,2133,454,3 ★,3★,High,High,3 ★,124
51,201535,R. Varane,27,86,88,87,CB,€72.5M,€220K,€98.8M,293,309,351,347,321,262,50,1933,428,3 ★,2★,Medium,High,3 ★,154
52,199556,M. Verratti,27,72,87,86,CM,€77.5M,€135K,€96.3M,344,411,401,308,397,243,64,2168,445,4 ★,4★,Medium,High,3 ★,145
53,195864,P. Pogba,27,86,87,86,CM,€77.5M,€190K,€98.8M,400,435,365,426,394,195,20,2235,476,4 ★,5★,High,Medium,4 ★,538
54,208830,J. Vardy,33,86,86,86,ST,€43.5M,€160K,€53.2M,390,330,414,378,385,160,62,2119,447,3 ★,3★,High,High,3 ★,182
55,152729,Piqué,33,86,86,86,CB,€32.5M,€220K,€43.1M,344,325,292,343,371,258,58,1991,422,3 ★,2★,High,Medium,4 ★,175
56,178603,M. Hummels,31,72,86,86,CB,€46.5M,€95K,€56.1M,349,355,323,341,366,264,42,2040,431,3 ★,3★,High,High,4 ★,101
57,177683,Y. Sommer,31,86,86,86,GK,€36M,€55K,€48.5M,84,96,299,262,162,40,423,1366,474,4 ★,1★,Medium,Medium,3 ★,45
58,168542,David Silva,34,72,86,86,CAM,€32M,€58K,€47.3M,383,420,388,325,358,140,46,2060,421,2 ★,4★,High,Medium,4 ★,103
59,143076,A. Gómez,32,86,86,86,CAM,€54M,€100K,€58.7M,359,411,453,345,337,114,46,2065,435,4 ★,4★,High,Medium,3 ★,377
60,189332,Jordi Alba,31,86,86,86,LB,€49.5M,€220K,€65.6M,372,387,433,359,377,236,60,2224,471,3 ★,3★,High,Medium,3 ★,99
61,183711,J. Henderson,30,86,86,86,CDM,€57M,€140K,€67.5M,377,403,354,399,394,244,49,2220,465,3 ★,3★,High,High,2 ★,194
62,231866,Rodri,24,70,88,85,CDM,€66.5M,€145K,€84.7M,346,359,350,382,362,245,49,2093,448,4 ★,3★,Medium,High,2 ★,161
63,223848,S. Milinković-Savić,25,85,89,86,CM,€74.5M,€95K,€87M,389,412,348,421,377,231,47,2225,475,4 ★,4★,High,Medium,2 ★,403
64,202556,M. Depay,26,85,88,86,CAM,€71.5M,€115K,€95.8M,386,414,413,408,344,80,50,2095,446,3 ★,5★,High,Low,3 ★,414
65,235790,K. Havertz,21,85,93,87,CAM,€121M,€105K,€119.7M,400,388,403,378,319,123,47,2058,441,4 ★,4★,Medium,Medium,3 ★,593
66,235243,M. de Ligt,20,85,92,87,CB,€99M,€81K,€91.6M,308,319,343,396,313,253,56,1988,435,4 ★,2★,Medium,High,3 ★,374
67,232363,M. Škriniar,25,85,89,86,CB,€67M,€130K,€79M,277,269,320,315,315,262,55,1813,403,4 ★,2★,Medium,High,1 ★,245
69,230621,G. Donnarumma,21,85,92,85,GK,€93.5M,€34K,€78.9M,78,106,281,253,144,50,418,1330,468,3 ★,1★,Medium,Medium,3 ★,266
70,206113,S. Gnabry,24,85,87,85,RM,€70M,€100K,€81.9M,368,380,425,379,337,132,50,2071,442,4 ★,4★,High,Medium,3 ★,299
71,222492,L. Sané,24,85,90,85,LM,€81.5M,€100K,€88.8M,402,402,427,368,332,103,52,2086,444,3 ★,4★,High,Medium,2 ★,309
72,208670,H. Ziyech,27,85,86,85,CAM,€62M,€140K,€86.9M,374,425,407,336,363,140,51,2096,443,2 ★,5★,High,High,3 ★,215
73,220440,C. Lenglet,25,70,89,86,CB,€67M,€190K,€94.6M,292,297,353,347,336,257,48,1930,419,4 ★,2★,Medium,High,2 ★,265
74,207865,Marquinhos,26,85,89,87,CB,€66M,€115K,€84.7M,298,312,364,340,340,261,47,1962,421,3 ★,3★,Medium,High,3 ★,211
75,204485,R. Mahrez,29,85,85,85,RW,€53M,€210K,€69.4M,366,418,427,350,321,98,54,2034,430,4 ★,5★,Medium,Medium,3 ★,112
76,210243,Ricardo Pereira,26,70,86,85,RB,€58M,€120K,€78M,352,372,410,370,373,249,65,2191,467,4 ★,3★,High,High,3 ★,203
77,212188,T. Werner,24,85,88,87,ST,€74.5M,€135K,€97.8M,399,352,428,388,331,78,50,2026,435,4 ★,3★,High,Medium,3 ★,337
78,189513,Parejo,31,85,85,85,CM,€44M,€59K,€69.3M,394,439,316,366,398,209,48,2170,444,4 ★,3★,Medium,Medium,2 ★,70
79,201399,M. Icardi,27,85,86,85,ST,€63M,€135K,€86.6M,386,336,381,387,324,89,43,1946,405,4 ★,3★,Medium,Medium,3 ★,159
80,228702,F. de Jong,23,85,90,87,CM,€81M,€190K,€107.3M,363,409,410,369,356,229,49,2185,468,3 ★,4★,Medium,High,3 ★,688
81,198219,L. Insigne,29,85,85,85,LW,€53M,€120K,€63.8M,374,425,442,316,300,99,45,2001,420,4 ★,4★,High,Medium,3 ★,116
82,184087,T. Alderweireld,31,85,85,85,CB,€37M,€130K,€54.2M,308,351,331,375,338,262,66,2031,423,3 ★,2★,Medium,Medium,3 ★,63
83,164240,Thiago Silva,35,85,85,85,CB,€14.5M,€95K,€21.9M,322,349,332,379,353,257,45,2037,420,3 ★,2★,Medium,High,4 ★,144
84,193747,Koke,28,85,85,85,CM,€54M,€90K,€77.9M,361,409,375,395,384,230,54,2208,465,4 ★,3★,High,High,3 ★,123
85,192563,B. Leno,28,85,87,85,GK,€46M,€105K,€66.2M,91,116,288,260,139,60,418,1372,474,3 ★,1★,Medium,Medium,3 ★,71
86,192505,R. Lukaku,27,85,86,85,ST,€63M,€165K,€79.9M,400,371,353,400,340,101,54,2019,437,4 ★,3★,Medium,Medium,3 ★,224
87,191043,Alex Sandro,29,85,85,85,LB,€47.5M,€120K,€52M,364,369,400,398,364,243,40,2178,465,3 ★,3★,High,Medium,3 ★,113
88,189509,Thiago,29,85,85,85,CM,€52.5M,€150K,€68.5M,373,432,395,355,372,206,46,2179,443,3 ★,5★,Medium,Medium,3 ★,175
89,188377,K. Walker,30,85,85,85,RB,€46.5M,€170K,€56.4M,341,381,403,406,358,242,57,2188,470,2 ★,3★,High,High,3 ★,130
90,190460,C. Eriksen,28,85,85,85,CAM,€54.5M,€155K,€66.3M,385,428,385,370,341,138,43,2090,438,5 ★,4★,High,High,3 ★,168
91,185122,P. Gulácsi,30,85,85,85,GK,€36M,€65K,€44.2M,94,104,251,250,134,61,421,1315,464,2 ★,1★,Medium,Medium,2 ★,61
92,184344,L. Bonucci,33,85,85,85,CB,€26M,€110K,€29.7M,311,345,319,369,354,256,13,1967,421,4 ★,2★,Medium,High,3 ★,89
93,175943,D. Mertens,33,85,85,85,CF,€34.5M,€115K,€40.8M,355,412,444,326,342,105,39,2023,423,4 ★,4★,High,Low,3 ★,137
94,198706,Luis Alberto,27,85,85,85,CAM,€57.5M,€100K,€68.9M,368,430,383,345,308,171,43,2048,438,3 ★,4★,Medium,Medium,2 ★,278
95,182493,D. Godín,34,85,85,85,CB,€17.5M,€56K,€24.7M,305,295,298,346,322,260,49,1875,396,3 ★,2★,Medium,High,3 ★,75
96,181291,G. Wijnaldum,29,70,85,85,CM,€52.5M,€150K,€68.5M,386,405,411,399,386,226,54,2267,475,4 ★,4★,High,High,3 ★,148
97,180206,M. Pjanić,30,85,85,85,CM,€51.5M,€220K,€72.8M,359,440,374,359,383,224,42,2181,449,4 ★,3★,Medium,Medium,3 ★,176
98,188350,M. Reus,31,85,70,85,CAM,€44.5M,€95K,€57.8M,389,422,410,373,360,132,61,2147,443,4 ★,4★,High,Medium,4 ★,197
99,226790,W. Ndidi,23,84,88,87,CB,€55M,€95K,€72.1M,321,341,365,412,366,261,54,2120,446,4 ★,3★,Medium,High,1 ★,264
100,216460,J. Giménez,25,84,88,86,CB,€52.5M,€71K,€76.5M,262,252,307,364,263,261,52,1761,388,3 ★,2★,Medium,High,2 ★,214
101,226753,A. Onana,24,84,88,84,GK,€48M,€18K,€44.3M,93,143,331,279,149,44,419,1458,482,3 ★,1★,Medium,Medium,3 ★,182
102,212194,J. Brandt,24,84,76,87,CAM,€60.5M,€75K,€71.9M,375,401,412,376,304,160,55,2083,445,4 ★,4★,High,Medium,3 ★,247
103,230142,Oyarzabal,23,84,90,85,CAM,€66.5M,€47K,€97.8M,380,387,401,372,332,117,50,2039,431,3 ★,3★,High,Medium,1 ★,402
104,231478,L. Martínez,22,84,91,86,ST,€86.5M,€130K,€84.6M,387,365,415,402,367,131,48,2115,451,4 ★,4★,High,Medium,1 ★,440
107,213345,K. Coman,24,84,88,86,RM,€60.5M,€95K,€69.9M,360,399,443,356,291,77,21,1947,421,3 ★,4★,Medium,Low,3 ★,171
108,210035,Grimaldo,24,84,88,85,LWB,€56M,€20K,€73.7M,344,412,423,375,347,232,50,2183,461,2 ★,3★,High,Medium,3 ★,320
109,230658,Arthur,23,68,89,86,CM,€63.5M,€100K,€70.7M,352,396,387,366,382,225,55,2163,454,3 ★,4★,Medium,Medium,2 ★,266
110,212190,N. Süle,24,68,89,85,CB,€57.5M,€84K,€64.7M,253,233,281,333,279,260,58,1697,385,3 ★,2★,Medium,Medium,2 ★,211
111,209889,R. Guerreiro,26,84,85,85,CAM,€49.5M,€86K,€64.8M,365,420,410,338,340,230,45,2148,453,2 ★,4★,Medium,Medium,3 ★,203
112,211300,A. Martial,24,68,88,86,ST,€61M,€155K,€81M,383,377,422,385,338,109,51,2065,446,3 ★,4★,Medium,Medium,3 ★,657
113,207863,Felipe,31,84,84,84,CB,€29M,€74K,€47.2M,285,251,327,342,310,256,50,1821,394,3 ★,2★,Medium,High,3 ★,87
114,209658,L. Goretzka,25,84,88,86,CM,€58.5M,€105K,€68.1M,389,397,390,410,385,228,56,2255,480,4 ★,3★,High,Medium,3 ★,259
115,208421,Saúl,25,84,87,86,CM,€55.5M,€78K,€81.8M,391,382,362,407,388,232,51,2213,464,4 ★,3★,High,High,3 ★,200
116,209989,T. Partey,27,84,85,86,CDM,€48M,€120K,€69.1M,353,391,352,430,375,247,49,2197,476,3 ★,3★,Medium,High,2 ★,255
117,199451,W. Ben Yedder,29,84,84,85,CF,€42M,€90K,€58.9M,402,396,434,364,349,93,42,2080,433,5 ★,4★,High,High,2 ★,113
118,211256,N. Tagliafico,27,84,84,84,LB,€40.5M,€27K,€38.5M,345,325,406,361,351,245,63,2096,448,2 ★,3★,High,High,3 ★,171
119,204838,R. Jiménez,29,84,84,84,ST,€42M,€140K,€58.9M,405,368,381,402,388,121,55,2120,450,4 ★,3★,High,High,3 ★,253
120,216352,M. Brozović,27,84,70,84,CDM,€43M,€125K,€56.8M,359,403,348,394,384,238,50,2176,455,4 ★,3★,Medium,High,2 ★,182
121,200458,L. Digne,26,84,85,84,LB,€45.5M,€110K,€62.2M,367,400,386,406,365,245,46,2215,462,2 ★,3★,High,Medium,2 ★,196
122,189117,R. Bürki,29,84,85,84,GK,€32.5M,€68K,€44.4M,90,84,277,253,133,40,409,1286,456,2 ★,1★,Medium,Medium,3 ★,60
123,200647,J. Iličić,32,84,84,85,CAM,€34M,€90K,€42.5M,394,420,361,354,354,111,52,2046,436,4 ★,4★,Medium,Medium,3 ★,161
124,185020,José Callejón,33,84,84,84,RM,€26.5M,€85K,€32.3M,389,356,421,369,322,128,49,2034,434,3 ★,3★,High,High,3 ★,97
125,197965,Pizzi,30,84,68,84,RM,€40.5M,€25K,€59M,366,411,388,364,388,188,62,2167,452,4 ★,3★,High,Medium,3 ★,85
126,197781,Isco,28,84,84,84,CAM,€42.5M,€210K,€64.6M,360,428,383,331,354,173,51,2080,433,3 ★,4★,Medium,Low,3 ★,169
127,197445,D. Alaba,28,84,84,84,CB,€36.5M,€105K,€45.4M,368,401,396,394,388,250,50,2247,466,4 ★,3★,Medium,Medium,4 ★,256
128,193474,I. Gueye,30,84,84,84,CDM,€35.5M,€105K,€47.2M,295,342,384,395,366,257,47,2086,443,3 ★,3★,Medium,High,2 ★,132
129,193165,J. Corona,27,84,68,84,RM,€45M,€25K,€65M,378,395,431,328,376,230,50,2188,455,5 ★,4★,High,Medium,3 ★,239
130,192629,Iago Aspas,32,84,84,84,ST,€34M,€46K,€52.5M,408,403,410,355,347,78,62,2063,429,4 ★,3★,High,High,2 ★,65
131,190483,Douglas Costa,29,84,84,84,LM,€41.5M,€110K,€50.3M,355,410,450,350,334,117,54,2070,438,3 ★,5★,High,Medium,3 ★,166
132,198176,S. de Vrij,28,84,85,84,CB,€40M,€130K,€54.1M,256,271,338,343,303,260,52,1823,400,4 ★,2★,Medium,High,3 ★,99
133,135507,Fernandinho,35,84,84,84,CB,€11M,€110K,€17.6M,364,381,363,399,380,257,48,2192,456,4 ★,3★,Medium,High,3 ★,121
134,176266,Lucas Leiva,33,84,68,84,CDM,€21M,€83K,€25.5M,338,358,359,365,378,247,37,2082,434,3 ★,3★,Medium,High,3 ★,144
135,184432,Azpilicueta,30,84,84,84,RB,€36.5M,€120K,€46.6M,331,350,365,358,373,255,43,2075,431,3 ★,2★,Medium,Medium,3 ★,109
136,168435,S. Sirigu,33,84,84,84,GK,€13.5M,€54K,€28.9M,69,83,287,239,138,38,406,1260,457,2 ★,1★,Medium,Medium,3 ★,32
137,163587,K. Schmeichel,33,84,84,84,GK,€13.5M,€90K,€32.3M,105,126,297,234,153,41,410,1366,464,3 ★,1★,Medium,Medium,2 ★,46
138,177413,A. Witsel,31,84,84,84,CDM,€29.5M,€79K,€40M,391,386,352,392,392,243,36,2192,460,4 ★,4★,Medium,Medium,3 ★,122
139,178005,Rui Patrício,32,84,84,84,GK,€21M,€90K,€36.1M,85,103,304,270,169,38,406,1375,461,2 ★,1★,Medium,Medium,3 ★,48
140,179813,E. Cavani,33,84,84,84,ST,€27M,€175K,€37.1M,400,356,359,422,385,144,53,2119,440,4 ★,3★,High,High,4 ★,527
141,146536,Jesús Navas,34,84,84,84,RB,€15.5M,€43K,€23.1M,380,370,423,328,375,239,55,2170,456,2 ★,4★,High,Medium,2 ★,199
142,235212,A. Hakimi,21,83,76,84,RM,€56M,€90K,€62.1M,358,362,420,374,345,217,46,2122,470,2 ★,3★,High,Medium,1 ★,459
143,228618,F. Mendy,25,83,88,83,LB,€49.5M,€160K,€64.8M,343,343,423,378,365,238,51,2141,471,5 ★,4★,High,High,1 ★,282
144,231443,O. Dembélé,23,83,78,85,LM,€57.5M,€175K,€79.9M,353,395,433,336,318,105,49,1989,425,5 ★,5★,High,Medium,3 ★,657
145,203486,T. Hazard,27,83,83,83,LM,€38.5M,€79K,€45.9M,358,407,430,360,365,150,37,2107,447,4 ★,4★,High,High,2 ★,121
146,230481,Ronaldo Cabrais,28,83,83,84,RM,€36.5M,€49K,€49.4M,380,414,418,385,344,92,65,2098,439,4 ★,4★,Medium,Low,1 ★,51
148,229261,D. Zakaria,23,83,87,84,CDM,€47.5M,€45K,€54.1M,319,344,382,369,349,248,55,2066,465,3 ★,3★,Medium,Medium,1 ★,642
149,216594,N. Fekir,26,83,84,84,CAM,€43M,€38K,€66.3M,371,414,410,391,352,106,61,2105,446,4 ★,4★,High,Medium,3 ★,155
150,224334,M. Acuña,28,83,83,83,LB,€33M,€41K,€46.2M,359,415,407,396,401,240,62,2280,478,3 ★,4★,High,High,2 ★,171
151,225953,S. Bergwijn,22,83,76,84,CAM,€56M,€105K,€68.1M,374,378,423,392,310,106,64,2047,440,2 ★,4★,High,Medium,2 ★,323
152,225100,J. Gomez,23,83,88,84,CB,€49.5M,€95K,€59.7M,271,275,377,300,302,250,49,1824,410,3 ★,3★,Medium,Medium,2 ★,288
153,222665,M. Ødegaard,21,83,89,85,CAM,€58.5M,€135K,€81M,366,416,399,335,356,165,62,2099,443,2 ★,5★,Medium,Medium,3 ★,497
154,221363,D. van de Beek,23,83,87,85,CM,€52M,€125K,€65.2M,377,383,367,402,377,214,51,2171,458,3 ★,3★,High,Medium,3 ★,509
155,221087,Pau López,25,83,88,83,GK,€42.5M,€25K,€55.5M,113,119,268,242,162,50,410,1364,459,3 ★,1★,Medium,Medium,1 ★,79
156,220407,M. Dúbravka,31,66,83,83,GK,€19M,€47K,€31.4M,93,127,277,253,140,48,408,1346,454,2 ★,1★,Medium,Medium,1 ★,49
157,219693,Diego Carlos,27,83,85,84,CB,€38.5M,€39K,€58.7M,256,328,359,372,325,246,49,1935,419,4 ★,3★,Medium,High,2 ★,270
158,239053,F. Valverde,21,83,90,84,CM,€73.5M,€135K,€81M,350,381,400,385,377,235,45,2173,474,3 ★,3★,High,High,1 ★,511
159,208093,Gerard Moreno,28,83,83,83,ST,€37M,€56K,€56.7M,406,373,380,388,339,126,56,2068,435,4 ★,3★,High,Medium,1 ★,80
160,230666,Gabriel Jesus,23,83,87,85,ST,€52.5M,€150K,€66.4M,382,368,438,379,344,111,48,2070,439,3 ★,4★,High,High,2 ★,247
161,216547,Rafa,27,83,83,83,LM,€38.5M,€23K,€54M,343,369,449,327,325,138,51,2002,430,3 ★,4★,High,Medium,2 ★,128
162,200949,Lucas Moura,27,83,83,83,RM,€38.5M,€120K,€51.3M,360,384,450,381,346,118,54,2093,439,4 ★,4★,High,Medium,3 ★,115
163,212151,T. Strakosha,25,83,88,83,GK,€42.5M,€58K,€45.3M,84,77,257,215,132,50,409,1224,453,2 ★,1★,Medium,Medium,1 ★,156
164,208574,F. Kostić,27,83,83,83,LM,€38.5M,€45K,€45.9M,367,400,410,397,365,209,64,2212,474,2 ★,3★,High,High,2 ★,87
165,211688,Gayà,25,83,88,84,LWB,€49.5M,€46K,€66.3M,340,365,410,321,360,245,53,2094,452,3 ★,4★,High,Medium,2 ★,196
166,211117,D. Alli,24,83,87,86,CAM,€52M,€105K,€67.2M,393,393,371,390,399,203,41,2190,464,3 ★,4★,High,High,3 ★,204
167,210514,João Cancelo,26,83,86,84,RWB,€43.5M,€140K,€53.9M,352,395,409,369,351,238,58,2172,460,3 ★,4★,High,Medium,2 ★,143
168,210413,A. Romagnoli,25,83,87,85,CB,€45.5M,€51K,€53.3M,247,275,332,339,281,256,52,1782,398,3 ★,2★,Medium,High,2 ★,337
169,205069,Juan Bernat,27,83,84,83,LB,€38M,€95K,€49.1M,350,368,419,336,362,234,56,2125,450,3 ★,4★,High,Medium,2 ★,140
170,205678,E. Višća,30,83,83,83,RM,€35M,€59K,€46.6M,360,377,435,376,335,135,64,2082,437,4 ★,4★,High,Medium,2 ★,87
171,205600,S. Umtiti,26,83,86,85,CB,€42M,€170K,€60.6M,334,348,339,388,336,250,66,2061,428,3 ★,2★,Medium,Medium,3 ★,207
172,205498,Jorginho,28,83,83,83,CM,€36.5M,€125K,€48.5M,351,403,341,342,403,215,56,2111,429,3 ★,3★,Medium,Medium,2 ★,112
173,205070,Portu,28,83,66,83,RW,€36.5M,€50K,€54.6M,394,388,420,394,352,175,67,2190,470,4 ★,3★,High,High,1 ★,152
174,204923,M. Sabitzer,26,83,85,84,CAM,€44.5M,€74K,€55M,380,393,400,407,372,192,66,2210,466,4 ★,3★,High,High,3 ★,220
175,215333,D. Zapata,29,66,83,83,ST,€36.5M,€87K,€44.2M,367,317,359,394,307,98,40,1882,413,4 ★,3★,High,Medium,2 ★,122
176,207410,M. Kovačić,26,83,86,86,CM,€47M,€120K,€62.2M,342,408,404,372,366,209,34,2135,454,4 ★,4★,High,High,3 ★,134
177,227928,Nélson Semedo,26,83,86,84,RWB,€43.5M,€100K,€55.3M,302,319,434,371,334,238,64,2062,453,3 ★,4★,Medium,High,2 ★,225
178,184134,Fernando,32,83,83,83,CDM,€24M,€39K,€35.7M,329,345,345,383,357,247,29,2035,439,3 ★,3★,Medium,Medium,2 ★,96
179,199434,D. Tadić,31,83,83,83,CF,€30.5M,€30K,€32.9M,397,412,375,374,346,108,61,2073,428,3 ★,4★,Medium,Medium,3 ★,94
