,Age,Rating in Scale 100,Potential in Scale 100,PreferredFoot,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,Composure,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,Pace,Shooting,Passing,Dribbling.1,Defending,Physical
24,35,88,88,Right,88,GK,10000000.0,100000.0,27200000.0,86,100,272,264,123,69,48,424,1317,477,3,1,Medium,Medium,3,88,85.0,73,89,53,89
25,29,88,88,Right,88,CB,76500000.0,140000.0,85000000.0,224,262,328,316,294,82,267,43,1734,401,3,2,Medium,High,3,75,28.0,55,68,89,86
27,30,88,88,Right,88,CM,87500000.0,310000.0,112800000.0,397,432,332,355,378,88,205,51,2150,447,5,3,Medium,Medium,4,54,81.0,91,81,71,69
28,29,87,87,Left,87,ST,79500000.0,290000.0,103500000.0,425,429,425,402,382,89,162,63,2288,465,3,4,Medium,Medium,4,79,85.0,84,88,57,72
29,20,87,93,Right,89,CAM,124000000.0,82000.0,132100000.0,373,380,435,328,313,84,105,52,1986,430,3,5,High,Medium,3,83,74.0,81,91,37,64
30,21,87,92,Right,87,RB,114000000.0,110000.0,115500000.0,365,426,391,370,371,81,241,56,2220,464,4,3,High,Medium,2,80,66.0,87,80,80,71
31,25,87,88,Left,87,RW,95000000.0,230000.0,115500000.0,371,411,434,350,356,87,148,54,2124,451,3,4,High,High,2,81,77.0,83,92,51,67
33,26,87,90,Left,88,CB,92500000.0,200000.0,107800000.0,311,351,331,348,331,85,266,45,1983,422,3,2,Medium,Medium,2,63,50.0,72,68,88,81
34,25,87,90,Right,88,CAM,105500000.0,195000.0,124400000.0,396,433,398,411,408,86,194,63,2303,476,4,4,High,High,2,77,83.0,88,85,68,75
35,26,87,89,Right,87,CDM,88500000.0,155000.0,104900000.0,345,365,349,395,412,84,258,47,2171,460,2,3,Medium,High,3,67,69.0,79,77,85,83
36,27,87,87,Right,87,LM,85000000.0,165000.0,99800000.0,399,400,429,385,345,88,117,53,2128,453,5,4,High,High,3,88,86.0,80,87,43,69
40,31,87,87,Right,87,CDM,56000000.0,240000.0,77900000.0,330,386,284,337,387,93,249,48,2021,424,3,3,Medium,Medium,4,42,62.0,80,80,83,77
41,31,87,87,Right,87,ST,67500000.0,170000.0,85500000.0,403,383,418,389,339,88,92,48,2072,441,4,4,High,High,3,93,86.0,75,80,38,69
42,30,87,87,Right,87,GK,53000000.0,105000.0,56100000.0,86,99,286,250,135,65,45,416,1317,465,3,1,Medium,Medium,3,86,82.0,73,88,49,87
43,32,87,87,Left,87,RW,63000000.0,160000.0,72200000.0,379,432,419,379,360,86,148,51,2168,453,2,5,High,Medium,4,83,81.0,85,88,48,68
44,34,87,87,Right,87,CM,36500000.0,260000.0,50200000.0,380,427,417,371,391,92,214,52,2252,463,4,4,High,Medium,4,73,76.0,89,88,71,66
45,33,87,87,Right,87,ST,51000000.0,115000.0,64599999.99999999,429,413,386,409,386,85,140,153,2316,459,4,3,High,Medium,5,70,90.0,82,83,51,83
47,30,87,87,Right,87,ST,78000000.0,125000.0,82500000.0,394,341,409,398,369,86,99,47,2057,438,4,3,High,Medium,3,84,88.0,67,83,39,77
48,30,86,86,Right,86,CAM,65500000.0,130000.0,69300000.0,419,375,374,388,359,84,150,52,2117,437,4,3,High,High,4,68,82.0,82,78,56,71
49,29,86,86,Right,86,GK,46500000.0,150000.0,59900000.0,114,143,304,241,170,65,59,418,1449,476,3,1,Medium,Medium,4,88,81.0,78,89,58,82
50,28,86,86,Right,86,RB,61500000.0,230000.0,77900000.0,339,359,403,355,361,82,251,65,2133,454,3,3,High,High,3,80,54.0,78,80,82,80
51,27,86,88,Right,87,CB,72500000.0,220000.0,98800000.0,293,309,351,347,321,83,262,50,1933,428,3,2,Medium,High,3,82,49.0,64,64,87,82
53,27,86,87,Right,86,CM,77500000.0,190000.0,98800000.0,400,435,365,426,394,87,195,20,2235,476,4,5,High,Medium,4,73,81.0,86,85,66,85
54,33,86,86,Right,86,ST,43500000.0,160000.0,53200000.0,390,330,414,378,385,87,160,62,2119,447,3,3,High,High,3,88,85.0,66,78,55,75
55,33,86,86,Right,86,CB,32500000.0,220000.0,43100000.0,344,325,292,343,371,87,258,58,1991,422,3,2,High,Medium,4,57,61.0,71,67,86,80
57,31,86,86,Right,86,GK,36000000.0,55000.0,48500000.0,84,96,299,262,162,57,40,423,1366,474,4,1,Medium,Medium,3,80,86.0,85,85,51,87
59,32,86,86,Right,86,CAM,54000000.0,100000.0,58700000.0,359,411,453,345,337,85,114,46,2065,435,4,4,High,Medium,3,90,79.0,84,88,39,55
60,31,86,86,Left,86,LB,49500000.0,220000.0,65599999.99999999,372,387,433,359,377,80,236,60,2224,471,3,3,High,Medium,3,88,69.0,81,83,78,72
61,30,86,86,Right,86,CDM,57000000.0,140000.0,67500000.0,377,403,354,399,394,82,244,49,2220,465,3,3,High,High,2,65,74.0,84,79,81,82
63,25,85,89,Right,86,CM,74500000.0,95000.0,87000000.0,389,412,348,421,377,84,231,47,2225,475,4,4,High,Medium,2,69,79.0,80,83,79,85
64,26,85,88,Right,86,CAM,71500000.0,115000.0,95800000.0,386,414,413,408,344,78,80,50,2095,446,3,5,High,Low,3,86,83.0,81,84,32,80
65,21,85,93,Left,87,CAM,121000000.0,105000.0,119700000.0,400,388,403,378,319,84,123,47,2058,441,4,4,Medium,Medium,3,84,81.0,79,85,45,67
66,20,85,92,Right,87,CB,99000000.0,81000.0,91600000.0,308,319,343,396,313,82,253,56,1988,435,4,2,Medium,High,3,72,59.0,66,69,85,84
67,25,85,89,Right,86,CB,67000000.0,130000.0,79000000.0,277,269,320,315,315,81,262,55,1813,403,4,2,Medium,High,1,69,41.0,59,66,87,81
68,22,85,91,Right,86,RM,86500000.0,150000.0,111300000.0,382,399,429,406,360,82,120,53,2149,461,4,5,High,Medium,2,91,83.0,78,86,45,78
69,21,85,92,Right,85,GK,93500000.0,34000.0,78900000.0,78,106,281,253,144,68,50,418,1330,468,3,1,Medium,Medium,3,89,81.0,76,89,50,83
70,24,85,87,Right,85,RM,70000000.0,100000.0,81900000.0,368,380,425,379,337,80,132,50,2071,442,4,4,High,Medium,3,82,83.0,78,86,43,70
71,24,85,90,Left,85,LM,81500000.0,100000.0,88800000.0,402,402,427,368,332,80,103,52,2086,444,3,4,High,Medium,2,93,81.0,79,86,38,67
72,27,85,86,Left,85,CAM,62000000.0,140000.0,86900000.0,374,425,407,336,363,79,140,51,2096,443,2,5,High,High,3,80,76.0,87,84,50,66
74,26,85,89,Right,87,CB,66000000.0,115000.0,84700000.0,298,312,364,340,340,86,261,47,1962,421,3,3,Medium,High,3,72,41.0,73,70,87,78
75,29,85,85,Left,85,RW,53000000.0,210000.0,69400000.0,366,418,427,350,321,84,98,54,2034,430,4,5,Medium,Medium,3,83,79.0,81,90,38,59
77,24,85,88,Right,87,ST,74500000.0,135000.0,97800000.0,399,352,428,388,331,82,78,50,2026,435,4,3,High,Medium,3,91,85.0,69,84,35,71
78,31,85,85,Right,85,CM,44000000.0,59000.0,69300000.0,394,439,316,366,398,85,209,48,2170,444,4,3,Medium,Medium,2,50,83.0,90,81,71,69
79,27,85,86,Right,85,ST,63000000.0,135000.0,86600000.0,386,336,381,387,324,83,89,43,1946,405,4,3,Medium,Medium,3,73,85.0,65,78,36,68
80,23,85,90,Right,87,CM,81000000.0,190000.0,107300000.0,363,409,410,369,356,90,229,49,2185,468,3,4,Medium,High,3,80,64.0,84,87,76,77
81,29,85,85,Right,85,LW,53000000.0,120000.0,63800000.0,374,425,442,316,300,83,99,45,2001,420,4,4,High,Medium,3,88,78.0,83,91,36,44
82,31,85,85,Right,85,CB,37000000.0,130000.0,54200000.0,308,351,331,375,338,86,262,66,2031,423,3,2,Medium,Medium,3,63,55.0,72,67,87,79
83,35,85,85,Right,85,CB,14500000.0,95000.0,21900000.0,322,349,332,379,353,86,257,45,2037,420,3,2,Medium,High,4,59,54.0,72,71,86,78
84,28,85,85,Right,85,CM,54000000.0,90000.0,77900000.0,361,409,375,395,384,84,230,54,2208,465,4,3,High,High,3,67,75.0,85,81,77,80
85,28,85,87,Right,85,GK,46000000.0,105000.0,66200000.0,91,116,288,260,139,66,60,418,1372,474,3,1,Medium,Medium,3,85,83.0,80,86,56,84
86,27,85,86,Left,85,ST,63000000.0,165000.0,79900000.0,400,371,353,400,340,83,101,54,2019,437,4,3,Medium,Medium,3,81,83.0,76,75,38,84
87,29,85,85,Left,85,LB,47500000.0,120000.0,52000000.0,364,369,400,398,364,80,243,40,2178,465,3,3,High,Medium,3,81,65.0,77,80,81,81
88,29,85,85,Right,85,CM,52500000.0,150000.0,68500000.0,373,432,395,355,372,86,206,46,2179,443,3,5,Medium,Medium,3,64,72.0,85,90,70,62
89,30,85,85,Right,85,RB,46500000.0,170000.0,56400000.0,341,381,403,406,358,75,242,57,2188,470,2,3,High,High,3,92,63.0,76,77,80,82
90,28,85,85,Right,85,CAM,54500000.0,155000.0,66300000.0,385,428,385,370,341,86,138,43,2090,438,5,4,High,High,3,72,81.0,88,81,53,63
91,30,85,85,Right,85,GK,36000000.0,65000.0,44200000.0,94,104,251,250,134,45,61,421,1315,464,2,1,Medium,Medium,2,84,85.0,82,86,43,84
92,33,85,85,Right,85,CB,26000000.0,110000.0,29700000.0,311,345,319,369,354,86,256,13,1967,421,4,2,Medium,High,3,60,58.0,69,70,87,77
94,27,85,85,Right,85,CAM,57500000.0,100000.0,68900000.0,368,430,383,345,308,78,171,43,2048,438,3,4,Medium,Medium,2,74,76.0,86,85,58,59
95,34,85,85,Right,85,CB,17500000.0,56000.0,24700000.0,305,295,298,346,322,80,260,49,1875,396,3,2,Medium,High,3,57,48.0,64,61,87,79
97,30,85,85,Right,85,CM,51500000.0,220000.0,72800000.0,359,440,374,359,383,86,224,42,2181,449,4,3,Medium,Medium,3,67,68.0,87,85,75,67
99,23,84,88,Right,87,CB,55000000.0,95000.0,72100000.0,321,341,365,412,366,80,261,54,2120,446,4,3,Medium,High,1,71,62.0,68,74,87,84
100,25,84,88,Right,86,CB,52500000.0,71000.0,76500000.0,262,252,307,364,263,75,261,52,1761,388,3,2,Medium,High,2,67,45.0,53,54,86,83
101,24,84,88,Right,84,GK,48000000.0,18000.0,44300000.0,93,143,331,279,149,61,44,419,1458,482,3,1,Medium,Medium,3,84,80.0,87,86,63,82
103,23,84,90,Left,85,CAM,66500000.0,47000.0,97800000.0,380,387,401,372,332,75,117,50,2039,431,3,3,High,Medium,1,81,82.0,80,84,41,63
104,22,84,91,Right,86,ST,86500000.0,130000.0,84600000.0,387,365,415,402,367,83,131,48,2115,451,4,4,High,Medium,1,83,82.0,71,85,48,82
106,27,84,85,Left,84,LB,44500000.0,145000.0,61200000.0,371,417,397,409,390,78,240,58,2282,478,2,3,High,High,3,85,74.0,83,81,79,76
107,24,84,88,Right,86,RM,60500000.0,95000.0,69900000.0,360,399,443,356,291,76,77,21,1947,421,3,4,Medium,Low,3,93,76.0,77,87,29,59
108,24,84,88,Left,85,LWB,56000000.0,20000.0,73700000.0,344,412,423,375,347,83,232,50,2183,461,2,3,High,Medium,3,85,65.0,79,84,77,71
111,26,84,85,Left,85,CAM,49500000.0,86000.0,64800000.0,365,420,410,338,340,86,230,45,2148,453,2,4,Medium,Medium,3,74,78.0,84,87,73,57
113,31,84,84,Right,84,CB,29000000.0,74000.0,47200000.0,285,251,327,342,310,75,256,50,1821,394,3,2,Medium,High,3,62,41.0,58,61,86,86
114,25,84,88,Right,86,CM,58500000.0,105000.0,68100000.0,389,397,390,410,385,82,228,56,2255,480,4,3,High,Medium,3,78,78.0,80,82,77,85
115,25,84,87,Left,86,CM,55500000.0,78000.0,81800000.0,391,382,362,407,388,83,232,51,2213,464,4,3,High,High,3,68,79.0,79,81,78,79
116,27,84,85,Right,86,CDM,48000000.0,120000.0,69100000.0,353,391,352,430,375,86,247,49,2197,476,3,3,Medium,High,2,71,74.0,82,81,82,86
117,29,84,84,Right,85,CF,42000000.0,90000.0,58900000.0,402,396,434,364,349,84,93,42,2080,433,5,4,High,High,2,84,83.0,77,87,39,63
118,27,84,84,Left,84,LB,40500000.0,27000.0,38500000.0,345,325,406,361,351,82,245,63,2096,448,2,3,High,High,3,82,56.0,73,76,82,79
119,29,84,84,Right,84,ST,42000000.0,140000.0,58900000.0,405,368,381,402,388,81,121,55,2120,450,4,3,High,High,3,78,82.0,76,82,49,83
121,26,84,85,Left,84,LB,45500000.0,110000.0,62200000.0,367,400,386,406,365,80,245,46,2215,462,2,3,High,Medium,2,78,69.0,80,79,80,76
122,29,84,85,Right,84,GK,32500000.0,68000.0,44400000.0,90,84,277,253,133,58,40,409,1286,456,2,1,Medium,Medium,3,85,82.0,72,88,47,82
123,32,84,84,Left,85,CAM,34000000.0,90000.0,42500000.0,394,420,361,354,354,80,111,52,2046,436,4,4,Medium,Medium,3,70,86.0,84,85,43,68
124,33,84,84,Right,84,RM,26500000.0,85000.0,32299999.999999996,389,356,421,369,322,79,128,49,2034,434,3,3,High,High,3,88,78.0,75,83,47,63
126,28,84,84,Right,84,CAM,42500000.0,210000.0,64599999.99999999,360,428,383,331,354,85,173,51,2080,433,3,4,Medium,Low,3,68,75.0,82,90,59,59
127,28,84,84,Left,84,CB,36500000.0,105000.0,45400000.0,368,401,396,394,388,84,250,50,2247,466,4,3,Medium,Medium,4,77,70.0,81,79,83,76
128,30,84,84,Right,84,CDM,35500000.0,105000.0,47200000.0,295,342,384,395,366,83,257,47,2086,443,3,3,Medium,High,2,69,61.0,71,78,85,79
130,32,84,84,Left,84,ST,34000000.0,46000.0,52500000.0,408,403,410,355,347,85,78,62,2063,429,4,3,High,High,2,82,85.0,78,86,35,63
131,29,84,84,Left,84,LM,41500000.0,110000.0,50300000.0,355,410,450,350,334,80,117,54,2070,438,3,5,High,Medium,3,93,73.0,79,91,43,59
132,28,84,85,Right,84,CB,40000000.0,130000.0,54100000.0,256,271,338,343,303,82,260,52,1823,400,4,2,Medium,High,3,68,41.0,62,68,86,75
133,35,84,84,Right,84,CB,11000000.0,110000.0,17600000.0,364,381,363,399,380,81,257,48,2192,456,4,3,Medium,High,3,64,72.0,78,78,85,79
135,30,84,84,Right,84,RB,36500000.0,120000.0,46600000.0,331,350,365,358,373,78,255,43,2075,431,3,2,Medium,Medium,3,67,55.0,77,72,84,76
136,33,84,84,Right,84,GK,13500000.0,54000.0,28900000.0,69,83,287,239,138,62,38,406,1260,457,2,1,Medium,Medium,3,84,80.0,76,82,51,84
137,33,84,84,Right,84,GK,13500000.0,90000.0,32299999.999999996,105,126,297,234,153,67,41,410,1366,464,3,1,Medium,Medium,2,82,77.0,83,89,54,79
138,31,84,84,Right,84,CDM,29500000.0,79000.0,40000000.0,391,386,352,392,392,92,243,36,2192,460,4,4,Medium,Medium,3,63,73.0,81,79,82,82
139,32,84,84,Left,84,GK,21000000.0,90000.0,36100000.0,85,103,304,270,169,66,38,406,1375,461,2,1,Medium,Medium,3,84,80.0,77,83,55,82
140,33,84,84,Right,84,ST,27000000.0,175000.0,37100000.0,400,356,359,422,385,80,144,53,2119,440,4,3,High,High,4,71,85.0,70,76,55,83
141,34,84,84,Right,84,RB,15500000.0,43000.0,23100000.0,380,370,423,328,375,81,239,55,2170,456,2,4,High,Medium,2,87,69.0,79,83,80,58
143,25,83,88,Left,83,LB,49500000.0,160000.0,64800000.0,343,343,423,378,365,78,238,51,2141,471,5,4,High,High,1,92,64.0,76,79,78,82
145,27,83,83,Right,83,LM,38500000.0,79000.0,45900000.0,358,407,430,360,365,78,150,37,2107,447,4,4,High,High,2,84,77.0,81,86,52,67
146,28,83,83,Right,84,RM,36500000.0,49000.0,49400000.0,380,414,418,385,344,81,92,65,2098,439,4,4,Medium,Low,1,88,77.0,83,84,35,72
147,22,83,88,Right,83,RB,52000000.0,115000.0,60200000.0,293,328,412,328,350,75,256,39,2006,440,2,4,Medium,High,1,86,51.0,68,80,81,74
148,23,83,87,Right,84,CDM,47500000.0,45000.0,54100000.0,319,344,382,369,349,84,248,55,2066,465,3,3,Medium,Medium,1,83,64.0,75,77,81,85
149,26,83,84,Left,84,CAM,43000000.0,38000.0,66300000.0,371,414,410,391,352,89,106,61,2105,446,4,4,High,Medium,3,79,82.0,81,87,38,79
150,28,83,83,Left,83,LB,33000000.0,41000.0,46200000.0,359,415,407,396,401,87,240,62,2280,478,3,4,High,High,2,76,74.0,82,86,78,82
152,23,83,88,Right,84,CB,49500000.0,95000.0,59700000.0,271,275,377,300,302,74,250,49,1824,410,3,3,Medium,Medium,2,82,30.0,66,69,83,80
153,21,83,89,Left,85,CAM,58500000.0,135000.0,81000000.0,366,416,399,335,356,76,165,62,2099,443,2,5,Medium,Medium,3,78,75.0,84,85,58,63
154,23,83,87,Right,85,CM,52000000.0,125000.0,65200000.0,377,383,367,402,377,85,214,51,2171,458,3,3,High,Medium,3,70,80.0,78,78,72,80
155,25,83,88,Left,83,GK,42500000.0,25000.0,55500000.0,113,119,268,242,162,62,50,410,1364,459,3,1,Medium,Medium,1,82,83.0,79,84,49,82
157,27,83,85,Right,84,CB,38500000.0,39000.0,58700000.0,256,328,359,372,325,75,246,49,1935,419,4,3,Medium,High,2,77,47.0,63,67,82,83
158,21,83,90,Right,84,CM,73500000.0,135000.0,81000000.0,350,381,400,385,377,82,235,45,2173,474,3,3,High,High,1,86,74.0,78,79,77,80
159,28,83,83,Left,83,ST,37000000.0,56000.0,56700000.0,406,373,380,388,339,77,126,56,2068,435,4,3,High,Medium,1,76,84.0,76,80,46,73
160,23,83,87,Right,85,ST,52500000.0,150000.0,66400000.00000001,382,368,438,379,344,81,111,48,2070,439,3,4,High,High,2,85,82.0,72,87,42,71
161,27,83,83,Right,83,LM,38500000.0,23000.0,54000000.0,343,369,449,327,325,81,138,51,2002,430,3,4,High,Medium,2,94,73.0,74,87,50,52
162,27,83,83,Right,83,RM,38500000.0,120000.0,51300000.0,360,384,450,381,346,82,118,54,2093,439,4,4,High,Medium,3,92,78.0,72,87,43,67
163,25,83,88,Right,83,GK,42500000.0,58000.0,45300000.0,84,77,257,215,132,61,50,409,1224,453,2,1,Medium,Medium,1,86,79.0,75,88,44,81
164,27,83,83,Left,83,LM,38500000.0,45000.0,45900000.0,367,400,410,397,365,80,209,64,2212,474,2,3,High,High,2,88,76.0,79,83,68,80
165,25,83,88,Left,84,LWB,49500000.0,46000.0,66300000.0,340,365,410,321,360,76,245,53,2094,452,3,4,High,Medium,2,84,61.0,78,80,79,70
166,24,83,87,Right,86,CAM,52000000.0,105000.0,67200000.0,393,393,371,390,399,87,203,41,2190,464,3,4,High,High,3,72,80.0,79,83,71,79
167,26,83,86,Right,84,RWB,43500000.0,140000.0,53900000.0,352,395,409,369,351,82,238,58,2172,460,3,4,High,Medium,2,86,65.0,79,83,77,70
168,25,83,87,Left,85,CB,45500000.0,51000.0,53300000.0,247,275,332,339,281,76,256,52,1782,398,3,2,Medium,High,2,70,40.0,56,69,85,78
169,27,83,84,Left,83,LB,38000000.0,95000.0,49100000.0,350,368,419,336,362,78,234,56,2125,450,3,4,High,Medium,2,81,64.0,79,83,76,67
170,30,83,83,Right,83,RM,35000000.0,59000.0,46600000.0,360,377,435,376,335,82,135,64,2082,437,4,4,High,Medium,2,88,77.0,79,82,47,64
171,26,83,86,Left,85,CB,42000000.0,170000.0,60600000.0,334,348,339,388,336,82,250,66,2061,428,3,2,Medium,Medium,3,66,62.0,69,69,83,79
172,28,83,83,Right,83,CM,36500000.0,125000.0,48500000.0,351,403,341,342,403,81,215,56,2111,429,3,3,Medium,Medium,2,55,65.0,84,80,72,73
174,26,83,85,Right,84,CAM,44500000.0,74000.0,55000000.0,380,393,400,407,372,80,192,66,2210,466,4,3,High,High,3,80,83.0,80,80,65,78
176,26,83,86,Right,86,CM,47000000.0,120000.0,62200000.0,342,408,404,372,366,81,209,34,2135,454,4,4,High,High,3,75,69.0,83,88,69,70
177,26,83,86,Right,84,RWB,43500000.0,100000.0,55300000.0,302,319,434,371,334,79,238,64,2062,453,3,4,Medium,High,2,92,57.0,69,82,77,76
178,32,83,83,Right,83,CDM,24000000.0,39000.0,35700000.0,329,345,345,383,357,78,247,29,2035,439,3,3,Medium,Medium,2,66,62.0,74,73,82,82
179,31,83,83,Left,83,CF,30500000.0,30000.0,32900000.0,397,412,375,374,346,86,108,61,2073,428,3,4,Medium,Medium,3,66,80.0,84,84,41,73
180,33,83,83,Left,83,CDM,18000000.0,14000.0,18800000.0,354,342,394,387,371,82,253,48,2149,454,2,2,Medium,High,3,75,66.0,75,77,82,79
181,29,83,83,Right,83,RB,32000000.0,71000.0,44100000.0,346,404,377,373,368,77,241,54,2163,442,4,3,Medium,Medium,2,73,60.0,81,77,79,72
182,28,83,83,Right,83,RB,33000000.0,175000.0,45100000.0,352,376,377,335,356,76,232,66,2094,449,3,4,Medium,Medium,3,77,63.0,81,78,77,73
183,29,83,84,Left,83,GK,28000000.0,69000.0,41500000.0,98,96,339,265,141,65,41,405,1385,469,2,1,Medium,Medium,2,85,80.0,74,86,64,80
185,28,83,84,Right,84,CB,34500000.0,115000.0,49100000.0,301,300,295,338,332,79,251,53,1870,405,2,2,Medium,Medium,2,60,46.0,68,68,85,78
187,29,83,83,Right,83,ST,36500000.0,125000.0,49400000.0,384,387,399,393,354,81,122,37,2076,438,4,4,High,High,3,76,82.0,75,84,46,75
188,27,83,83,Right,83,LM,38500000.0,82000.0,51300000.0,339,355,421,361,328,80,96,61,1961,433,3,5,Medium,Medium,2,90,75.0,72,87,34,75
190,30,83,83,Right,83,GK,24000000.0,64000.0,29800000.0,72,89,246,224,131,48,33,402,1197,443,3,1,Medium,Medium,2,85,78.0,69,87,41,83
191,27,83,83,Right,83,LW,38500000.0,41000.0,56700000.0,353,394,429,342,335,82,151,45,2049,434,3,4,Medium,Low,2,81,75.0,80,87,51,60
192,28,83,83,Right,83,CAM,36500000.0,190000.0,53300000.0,363,432,411,351,342,77,156,48,2103,433,4,5,High,Medium,4,72,79.0,82,89,52,59
193,28,83,83,Right,83,CAM,36500000.0,25000.0,41600000.0,376,404,410,379,337,79,174,61,2141,446,3,4,High,High,3,78,79.0,83,83,58,65
194,28,83,85,Left,83,GK,31000000.0,53000.0,39900000.0,92,107,265,252,126,40,47,410,1299,455,2,1,Medium,Medium,2,83,80.0,80,84,45,83
195,32,83,83,Left,83,CB,23500000.0,75000.0,28100000.0,258,334,277,371,320,85,259,53,1872,406,3,3,Medium,High,2,62,50.0,62,63,86,83
198,31,83,83,Right,83,CM,30000000.0,39000.0,35200000.0,393,382,385,429,399,81,234,57,2279,478,4,4,High,High,3,72,82.0,77,82,80,85
199,30,83,83,Left,83,LB,31500000.0,35000.0,43100000.0,359,359,403,407,354,78,237,53,2172,466,3,3,High,Medium,2,83,68.0,76,76,80,83
200,29,83,83,Right,85,CDM,35500000.0,115000.0,47500000.0,343,358,398,379,390,85,261,44,2173,471,3,4,Medium,High,2,73,71.0,77,82,85,83
201,33,83,83,Right,83,CM,22500000.0,125000.0,25500000.0,391,382,366,416,421,80,249,16,2241,470,4,3,High,High,4,65,79.0,79,78,83,86
202,34,83,83,Right,83,ST,17500000.0,39000.0,28400000.0,388,352,294,380,339,83,102,63,1918,408,5,2,Medium,Medium,3,59,84.0,71,75,46,73
203,32,83,83,Right,85,CDM,29000000.0,125000.0,34000000.0,367,390,385,413,401,84,259,55,2270,478,3,3,High,High,3,71,80.0,80,83,83,81
205,30,83,83,Left,83,RW,35000000.0,200000.0,0.0,417,419,397,405,362,85,161,52,2213,465,3,4,Medium,Medium,4,88,84.0,82,80,58,73
207,33,83,83,Left,83,CB,17500000.0,21000.0,24000000.0,331,356,314,380,357,81,257,44,2039,426,3,3,High,High,3,58,62.0,72,71,85,78
208,35,83,83,Right,83,GK,4000000.0,28000.0,13300000.0,99,107,266,232,137,64,41,405,1287,453,3,1,Medium,Medium,3,81,81.0,78,84,48,81
209,38,83,83,Right,83,ST,12500000.0,49000.0,16200000.0,400,397,297,386,368,90,89,59,1996,407,4,5,Medium,Low,5,52,88.0,77,79,34,77
